t,dp1,dp2,dp3,dv1,dv2,dv3,tau1,tau2,tau3,da1,da2,da3
0.92,1.179874,-0.788111,0.0,-1.446388,-1.953798,0.0,-8.525767,-8.552506,0.0,-0.037693,0.00094,0.0
0.93,1.179874,-0.788111,0.0,-1.446388,-1.953798,0.0,-8.525767,-8.552506,0.0,0.0,0.0,0.0
0.94,1.165222,-0.807644,0.0,-1.465216,-1.953302,0.0,-8.525767,-8.393661,0.0,-0.018828,0.000496,0.0
0.95,1.150382,-0.827172,0.0,-1.484031,-1.952788,0.0,-8.525669,-8.231439,0.0,-0.018815,0.000514,0.0
0.96,1.135354,-0.846695,0.0,-1.502831,-1.952256,0.0,-8.525669,-8.06589,0.0,-0.0188,0.000532,0.0
0.97,1.120137,-0.866212,0.0,-1.521614,-1.951707,0.0,-8.525569,-7.89708,0.0,-0.018783,0.000549,0.0
0.98,1.104734,-0.885723,0.0,-1.540381,-1.951138,0.0,-8.525518,-7.72506,0.0,-0.018767,0.000569,0.0
0.99,1.089142,-0.905232,0.0,-1.559141,-1.950881,0.0,-8.525518,-7.72506,0.0,-0.01876,0.000257,0.0
1.0,1.073363,-0.924738,0.0,-1.577882,-1.950611,0.0,-8.525466,-7.549894,0.0,-0.018741,0.00027,0.0
1.012,1.057397,-0.944238,0.0,-1.596589,-1.949987,0.0,-8.525362,-7.190369,0.0,-0.018707,0.000624,0.0
1.02,1.041245,-0.963731,0.0,-1.615274,-1.949344,0.0,-8.525309,-7.006136,0.0,-0.018685,0.000643,0.0
1.03,1.024905,-0.983222,0.0,-1.633949,-1.949034,0.0,-8.525309,-7.006136,0.0,-0.018675,0.00031,0.0
1.04,1.008379,-1.002709,0.0,-1.652599,-1.94871,0.0,-8.525256,-6.819008,0.0,-0.01865,0.000324,0.0
1.051,0.991667,-1.022189,0.0,-1.671208,-1.948009,0.0,-8.525148,-6.436333,0.0,-0.018609,0.000701,0.0
1.06,0.974769,-1.041665,0.0,-1.689804,-1.947657,0.0,-8.525148,-6.436333,0.0,-0.018596,0.000352,0.0
1.07,0.940416,-1.080611,0.0,-1.726909,-1.946899,0.0,-8.524981,-5.842298,0.0,-0.037105,0.000758,0.0
1.08,0.922962,-1.100072,0.0,-1.745397,-1.946121,0.0,-8.524925,-5.639228,0.0,-0.018488,0.000778,0.0
1.09,0.922962,-1.100072,0.0,-1.745397,-1.946121,0.0,-8.524925,-5.639228,0.0,0.0,0.0,0.0
1.1,0.888009,-1.138975,0.0,-1.748428,-1.944929,0.0,0.001965,-5.831456,0.0,-0.003031,0.001192,0.0
1.11,0.87051,-1.158416,0.0,-1.749866,-1.94411,0.0,0.001971,-5.418723,0.0,-0.001438,0.000819,0.0
1.12,0.87051,-1.158416,0.0,-1.749866,-1.94411,0.0,0.001971,-5.418723,0.0,0.0,0.0,0.0
1.13,0.852997,-1.177849,0.0,-1.751257,-1.943271,0.0,0.001974,-5.208934,0.0,-0.001391,0.000839,0.0
1.14,0.835471,-1.197273,0.0,-1.7526,-1.942411,0.0,0.001976,-4.996978,0.0,-0.001343,0.00086,0.0
1.15,0.817933,-1.216688,0.0,-1.753894,-1.941532,0.0,0.001979,-4.782942,0.0,-0.001294,0.000879,0.0
1.16,0.800381,-1.236095,0.0,-1.755138,-1.940632,0.0,0.001979,-4.566914,0.0,-0.001244,0.0009,0.0
1.17,0.782818,-1.255492,0.0,-1.75633,-1.939712,0.0,0.001985,-4.348984,0.0,-0.001192,0.00092,0.0
1.18,0.765243,-1.274884,0.0,-1.75749,-1.939185,0.0,0.001985,-4.348984,0.0,-0.00116,0.000527,0.0
1.19,0.730061,-1.313647,0.0,-1.759632,-1.93766,0.0,0.001993,-3.684682,0.0,-0.002142,0.001525,0.0
