t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.410,0.00065614,0.78448483,2.35660964,0.00470614,-0.00652144,0.00296429,0.00000000,0.00000000,0.00000000,0.00051324,0.78573835,2.35560016,0.00497110,-0.03704090,-0.00661369,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00738179,-21.11837263,0.23744097,0.00738179,-21.11837263,0.23744097,0.00089703,-21.18937501,0.26337178,0.00014290,-0.00125352,0.00100948,-0.00026496,0.03051946,0.00957798,0
0.420,0.00070431,0.78441809,2.35663998,0.00492888,-0.00682708,0.00310322,0.00000000,0.00000000,0.00000000,0.00056011,0.78538049,2.35561331,0.00490014,-0.03672712,-0.00463133,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01102523,-21.08213176,0.22181780,0.01102523,-21.08213176,0.22181780,0.00400156,-21.14240894,0.25085342,0.00014420,-0.00096240,0.00102667,0.00002874,0.02990004,0.00773455,0
0.430,0.00075473,0.78434827,2.35667172,0.00515631,-0.00713892,0.00324496,0.00000000,0.00000000,0.00000000,0.00060614,0.78503002,2.35564130,0.00482585,-0.03630732,-0.00277371,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01491950,-21.05183940,0.20545544,0.01491950,-21.05183940,0.20545544,0.00738179,-21.10084867,0.23604140,0.00014859,-0.00068175,0.00103042,0.00033046,0.02916840,0.00601867,0
0.440,0.00080745,0.78427529,2.35670489,0.00538839,-0.00745691,0.00338950,0.00000000,0.00000000,0.00000000,0.00065135,0.78468793,2.35568151,0.00474944,-0.03578253,-0.00107509,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01905141,-21.02768107,0.18909141,0.01905141,-21.02768107,0.18909141,0.01102523,-21.06502769,0.21980740,0.00015610,-0.00041264,0.00102338,0.00063895,0.02832562,0.00446459,0
0.450,0.00086252,0.78419911,2.35673951,0.00562508,-0.00778099,0.00353682,0.00000000,0.00000000,0.00000000,0.00069575,0.78435518,2.35573135,0.00467212,-0.03515571,0.00043965,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02340732,-21.00974786,0.17336373,0.02340732,-21.00974786,0.17336373,0.01491950,-21.03520178,0.20296352,0.00016677,-0.00015607,0.00100816,0.00095296,0.02737472,0.00309717,0
0.460,0.00091997,0.78411965,2.35677563,0.00586637,-0.00811112,0.00368687,0.00000000,0.00000000,0.00000000,0.00073939,0.78403258,2.35578836,0.00459508,-0.03443174,0.00175497,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02797260,-20.99805178,0.15880233,0.02797260,-20.99805178,0.15880233,0.01905141,-21.01155114,0.18624094,0.00018058,0.00008707,0.00098727,0.00127129,0.02632062,0.00193190,0
0.470,0.00097986,0.78403687,2.35681326,0.00611221,-0.00844725,0.00383966,0.00000000,0.00000000,0.00000000,0.00078231,0.78372084,2.35585029,0.00451948,-0.03361731,0.00286441,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03273333,-20.99251030,0.14581098,0.03273333,-20.99251030,0.14581098,0.02340732,-20.99416087,0.17026736,0.00019755,0.00031603,0.00096297,0.00159273,0.02517006,0.00097525,0
0.480,0.00104223,0.78395069,2.35685243,0.00636259,-0.00878931,0.00399514,0.00000000,0.00000000,0.00000000,0.00082459,0.78342054,2.35591515,0.00444646,-0.03272066,0.00376987,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03767496,-20.99296642,0.13467174,0.03767496,-20.99296642,0.13467174,0.02797260,-20.98303643,0.15555922,0.00021764,0.00053015,0.00093728,0.00191613,0.02393135,0.00022527,0
0.490,0.00110712,0.78386106,2.35689317,0.00661745,-0.00913726,0.00415330,0.00000000,0.00000000,0.00000000,0.00086628,0.78313210,2.35598128,0.00437711,-0.03175141,0.00448070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04278225,-20.99918348,0.12554515,0.04278225,-20.99918348,0.12554515,0.03273333,-20.97808847,0.14250437,0.00024084,0.00072896,0.00091189,0.00224034,0.02261415,-0.00032740,0
0.500,0.00117459,0.78376792,2.35693551,0.00687679,-0.00949105,0.00431411,0.00000000,0.00000000,0.00000000,0.00090747,0.78285583,2.35604737,0.00431250,-0.03072026,0.00501265,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04804170,-21.01086072,0.11847617,0.04804170,-21.01086072,0.11847617,0.03767496,-20.97915301,0.13136750,0.00026712,0.00091209,0.00088814,0.00256429,0.02122921,-0.00069854,0
0.510,0.00124467,0.78367122,2.35697946,0.00714055,-0.00985063,0.00447756,0.00000000,0.00000000,0.00000000,0.00094824,0.78259189,2.35611245,0.00425363,-0.02963870,0.00538651,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05343772,-21.02764026,0.11340194,0.05343772,-21.02764026,0.11340194,0.04278225,-20.98598647,0.12229110,0.00029643,0.00107933,0.00086701,0.00288692,0.01978807,-0.00090895,0
0.520,0.00131742,0.78357089,2.35702507,0.00740873,-0.01021593,0.00464360,0.00000000,0.00000000,0.00000000,0.00098869,0.78234030,2.35617593,0.00420147,-0.02851870,0.00562689,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05895712,-21.04912395,0.11017375,0.05895712,-21.04912395,0.11017375,0.04804170,-20.99828138,0.11530215,0.00032873,0.00123059,0.00084914,0.00320726,0.01830277,-0.00098329,0
0.530,0.00139286,0.78346688,2.35707234,0.00768127,-0.01058692,0.00481223,0.00000000,0.00000000,0.00000000,0.00102892,0.78210097,2.35623755,0.00415693,-0.02737239,0.00576080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06458427,-21.07487966,0.10856036,0.06458427,-21.07487966,0.10856036,0.05343772,-21.01567354,0.11032068,0.00036394,0.00136591,0.00083479,0.00352434,0.01678547,-0.00094857,0
0.540,0.00147106,0.78335914,2.35712132,0.00795816,-0.01096353,0.00498342,0.00000000,0.00000000,0.00000000,0.00106905,0.78187367,2.35629738,0.00412085,-0.02621179,0.00581636,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07030694,-21.10445456,0.10827932,0.07030694,-21.10445456,0.10827932,0.05895712,-21.03775895,0.10718222,0.00040201,0.00148547,0.00082394,0.00383731,0.01524826,-0.00083294,0
