t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.400,0.00071285,0.78480822,2.35667382,0.00525516,-0.00434910,0.00353365,0.02536976,-0.02099566,0.01705898,0.00124072,0.77696466,2.35719585,0.00365896,-0.00299117,-0.00358488,0.14282170,-22.00094032,-0.00819439,0.14282170,-22.00094032,-0.00819439,-0.00474777,0.18984636,0.01097470,0.13807393,-21.81109396,0.00278032,0.13092872,-21.79539365,0.00201874,-0.00052787,0.00784356,-0.00052203,0.00159620,-0.00135793,0.00711853,0
0.410,0.00076668,0.78476367,2.35671002,0.00551169,-0.00456140,0.00370614,0.02593519,-0.02146361,0.01743918,0.00128405,0.77694994,2.35715965,0.00382746,-0.00261155,-0.00359387,0.14604625,-22.00482941,-0.00838304,0.14604625,-22.00482941,-0.00838304,-0.00441473,0.18615680,0.01236925,0.14163152,-21.81867261,0.00398621,0.13450642,-21.80289085,0.00331385,-0.00051737,0.00781373,-0.00044963,0.00168423,-0.00194985,0.00730001,0
0.420,0.00082311,0.78471697,2.35674796,0.00577386,-0.00477837,0.00388242,0.02649735,-0.02192884,0.01781718,0.00132933,0.77693844,2.35712473,0.00400252,-0.00224605,-0.00356822,0.14925237,-22.00876808,-0.00857471,0.14925237,-22.00876808,-0.00857471,-0.00407371,0.18237991,0.01369255,0.14517866,-21.82638817,0.00511784,0.13807393,-21.81051919,0.00452596,-0.00050622,0.00777853,-0.00037677,0.00177134,-0.00253232,0.00745064,0
0.430,0.00088218,0.78466808,2.35678768,0.00604163,-0.00499997,0.00406247,0.02705624,-0.02239137,0.01819299,0.00137662,0.77693003,2.35709143,0.00418414,-0.00189485,-0.00350877,0.15244043,-22.01273537,-0.00876766,0.15244043,-22.01273537,-0.00876766,-0.00372522,0.17851948,0.01494305,0.14871521,-21.83421588,0.00617539,0.14163152,-21.81825197,0.00565142,-0.00049444,0.00773805,-0.00030375,0.00185749,-0.00310512,0.00757124,0
0.440,0.00094396,0.78461696,2.35682922,0.00631497,-0.00522618,0.00424627,0.02761186,-0.02285120,0.01856660,0.00142599,0.77692455,2.35706004,0.00437235,-0.00155813,-0.00341638,0.15561026,-22.01674271,-0.00896308,0.15561026,-22.01674271,-0.00896308,-0.00336928,0.17457918,0.01611947,0.15224098,-21.84216353,0.00715640,0.14517866,-21.82611419,0.00668745,-0.00048203,0.00769241,-0.00023082,0.00194262,-0.00366805,0.00766265,0
0.450,0.00100850,0.78456355,2.35687262,0.00659385,-0.00545698,0.00443380,0.02816423,-0.02330833,0.01893802,0.00147751,0.77692185,2.35703085,0.00456716,-0.00123602,-0.00329199,0.15876181,-22.02079010,-0.00916044,0.15876181,-22.02079010,-0.00916044,-0.00300625,0.17056211,0.01722081,0.15575557,-21.85022799,0.00806037,0.14871521,-21.83408103,0.00763480,-0.00046901,0.00764170,-0.00015823,0.00202669,-0.00422096,0.00772579,0
0.460,0.00107585,0.78450780,2.35691791,0.00687825,-0.00569234,0.00462503,0.02871334,-0.02376277,0.01930725,0.00153123,0.77692179,2.35700415,0.00476858,-0.00092867,-0.00313657,0.16189551,-22.02488136,-0.00936142,0.16189551,-22.02488136,-0.00936142,-0.00263642,0.16647164,0.01824614,0.15925909,-21.85840972,0.00888472,0.15224098,-21.84216021,0.00849154,-0.00045538,0.00758601,-0.00008624,0.00210967,-0.00476367,0.00776160,0
0.470,0.00114608,0.78444968,2.35696513,0.00716811,-0.00593223,0.00481994,0.02925921,-0.02421452,0.01967430,0.00158724,0.77692420,2.35698020,0.00497663,-0.00063621,-0.00295112,0.16501141,-22.02901077,-0.00956294,0.16501141,-22.02901077,-0.00956294,-0.00225990,0.16231160,0.01919495,0.16275151,-21.86669917,0.00963201,0.15575557,-21.85034859,0.00925775,-0.00044116,0.00752548,-0.00001507,0.00219148,-0.00529602,0.00777106,0
0.480,0.00121923,0.78438914,2.35701432,0.00746342,-0.00617662,0.00501851,0.02980185,-0.02466360,0.02003917,0.00164560,0.77692894,2.35695926,0.00519131,-0.00035873,-0.00273669,0.16810910,-22.03318787,-0.00976698,0.16810910,-22.03318787,-0.00976698,-0.00187713,0.15808528,0.02006698,0.16623197,-21.87510258,0.01030000,0.15925909,-21.85864656,0.00993143,-0.00042637,0.00746020,0.00005506,0.00227211,-0.00581789,0.00775520,0
0.490,0.00129537,0.78432614,2.35706551,0.00776414,-0.00642549,0.00522071,0.03034124,-0.02510999,0.02040187,0.00170636,0.77693584,2.35694159,0.00541265,-0.00009635,-0.00249437,0.17118894,-22.03740311,-0.00997553,0.17118894,-22.03740311,-0.00997553,-0.00148817,0.15379612,0.02086204,0.16970077,-21.88360699,0.01088650,0.16275151,-21.86704456,0.01051571,-0.00041099,0.00739030,0.00012392,0.00235149,-0.00632914,0.00771508,0
