t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.500,0.00016516,0.78535076,2.35612109,0.00098049,-0.00028144,-0.00043577,0.00383850,-0.00110179,-0.00170600,-0.00106293,0.78467309,2.35500680,0.00108154,-0.01305157,0.01158421,0.00499051,-21.86258673,-0.00088739,0.16209266,0.30530895,0.06224477,0.16708317,-21.55727779,0.06135738,0.16683971,-21.55746425,0.05608935,0.00122809,0.00067767,0.00111429,-0.00010105,0.01277013,-0.01201998
0.510,0.00017516,0.78534789,2.35611664,0.00101923,-0.00029256,-0.00045299,0.00391020,-0.00112237,-0.00173787,-0.00104280,0.78455515,2.35513318,0.00131438,-0.01273707,0.01184784,0.00508379,-21.86270325,-0.00093805,0.16151164,0.30725906,0.06154600,0.16659544,-21.55544419,0.06060795,0.16716812,-21.55407354,0.05560404,0.00121796,0.00079274,0.00098346,-0.00029515,0.01244451,-0.01230083
0.520,0.00018555,0.78534490,2.35611202,0.00105869,-0.00030388,-0.00047053,0.00398171,-0.00114290,-0.00176965,-0.00102030,0.78444090,2.35526155,0.00154828,-0.01240921,0.01209492,0.00517683,-21.86282452,-0.00099065,0.16053867,0.30837444,0.06067173,0.16571550,-21.55445008,0.05968108,0.16708317,-21.55156497,0.05493929,0.00120585,0.00090400,0.00085047,-0.00048959,0.01210533,-0.01256545
0.530,0.00019633,0.78534181,2.35610723,0.00109886,-0.00031541,-0.00048838,0.00405302,-0.00116337,-0.00180134,-0.00099544,0.78433041,2.35539169,0.00178266,-0.01206915,0.01232472,0.00526961,-21.86294993,-0.00104507,0.15918647,0.30868036,0.05962908,0.16445609,-21.55426957,0.05858400,0.16659544,-21.54991969,0.05410091,0.00119177,0.00101140,0.00071554,-0.00068380,0.01175374,-0.01281310
0.540,0.00020753,0.78533860,2.35610226,0.00113975,-0.00032715,-0.00050656,0.00412413,-0.00118378,-0.00183295,-0.00096824,0.78422376,2.35552340,0.00201697,-0.01171806,0.01253650,0.00536214,-21.86308015,-0.00110151,0.15746763,0.30819781,0.05842415,0.16282977,-21.55488234,0.05732264,0.16571550,-21.54911770,0.05309516,0.00117577,0.00111484,0.00057886,-0.00087722,0.01139091,-0.01304306
0.550,0.00021913,0.78533526,2.35609710,0.00118135,-0.00033909,-0.00052504,0.00419505,-0.00120413,-0.00186447,-0.00093873,0.78412102,2.35565649,0.00225064,-0.01135706,0.01272959,0.00545443,-21.86321554,-0.00116009,0.15539376,0.30695044,0.05706368,0.16084819,-21.55626511,0.05590359,0.16445609,-21.54913254,0.05192956,0.00115786,0.00121424,0.00044061,-0.00106929,0.01101797,-0.01325463
0.560,0.00023116,0.78533181,2.35609175,0.00122365,-0.00035123,-0.00054384,0.00426577,-0.00122444,-0.00189590,-0.00090692,0.78402224,2.35579074,0.00248315,-0.01098728,0.01290338,0.00554645,-21.86335554,-0.00122070,0.15298121,0.30496889,0.05555587,0.15852766,-21.55838665,0.05433517,0.16282977,-21.54994337,0.05061027,0.00113808,0.00130957,0.00030101,-0.00125950,0.01063605,-0.01344722
0.570,0.00024361,0.78532824,2.35608622,0.00126666,-0.00036358,-0.00056296,0.00433630,-0.00124468,-0.00192725,-0.00087286,0.78392746,2.35592593,0.00271398,-0.01060984,0.01305727,0.00563824,-21.86350033,-0.00128331,0.15024377,0.30228072,0.05390835,0.15588202,-21.56121962,0.05262504,0.16084819,-21.55152635,0.04914411,0.00111647,0.00140078,0.00016029,-0.00144732,0.01024626,-0.01362023
0.580,0.00025649,0.78532454,2.35608049,0.00131038,-0.00037613,-0.00058239,0.00440664,-0.00126487,-0.00195850,-0.00083657,0.78383673,2.35606184,0.00294261,-0.01022583,0.01319074,0.00572979,-21.86365038,-0.00134814,0.14719613,0.29891354,0.05212859,0.15292593,-21.56473684,0.05078045,0.15852766,-21.55384975,0.04753960,0.00109306,0.00148781,0.00001865,-0.00163223,0.00984970,-0.01377313
0.590,0.00026982,0.78532072,2.35607457,0.00135479,-0.00038888,-0.00060213,0.00447677,-0.00128500,-0.00198968,-0.00079811,0.78375005,2.35619825,0.00316857,-0.00983633,0.01330329,0.00582107,-21.86380531,-0.00141506,0.14385552,0.29490085,0.05022544,0.14967659,-21.56890446,0.04881038,0.15588202,-21.55688570,0.04580457,0.00106793,0.00157067,-0.00012368,-0.00181378,0.00944745,-0.01390542
